Waking hour, Repetition hour, Wakefulness, Sleep length, Grade, Day No, RepDate, SleepDate, Score, eFI, Alertness, Circadian, Homeostatic, Element
6.5,23.5,17.0,8.5,5,6661,27.3月.2018,27.3月.2018,100,1.000,0.33,0.74,0.05,Item #8: How can you add a new element to SuperMemo?
6.5,23.5,17.1,8.5,2,6661,27.3月.2018,27.3月.2018,0,0.000,0.33,0.74,0.05,Item #9: How can you learn the elements stored in SuperMemo?
6.5,23.6,17.1,8.5,2,6661,27.3月.2018,27.3月.2018,0,0.000,0.32,0.74,0.05,Item #3: What do you need SuperMemo for?
6.5,23.6,17.1,8.5,5,6661,27.3月.2018,27.3月.2018,100,1.000,0.32,0.73,0.05,Item #7: (js) 用来创建新对象的函数叫做什么函数？
6.5,23.6,17.1,8.5,2,6661,27.3月.2018,27.3月.2018,0,0.000,0.32,0.73,0.05,Item #2: How can you always bring up the Question of the Day dialog?
7.5,9.3,1.8,7.5,4,6662,28.3月.2018,28.3月.2018,100,1.000,0.48,0.90,0.30,Item #2: How can you always bring up the Question of the Day dialog?
7.5,9.3,1.8,7.5,5,6662,28.3月.2018,28.3月.2018,100,1.000,0.48,0.90,0.30,Item #9: How can you learn the elements stored in SuperMemo?
7.5,9.3,1.8,7.5,4,6662,28.3月.2018,28.3月.2018,100,1.000,0.48,0.90,0.30,Item #3: What do you need SuperMemo for?
13.0,13.1,0.1,0.3,4,6664,30.3月.2018,30.3月.2018,100,1.000,0.64,0.73,0.75,Item #11: How can you make a copy of a SuperMemo collection?
13.0,13.1,0.1,0.3,4,6664,30.3月.2018,30.3月.2018,100,1.000,0.64,0.73,0.75,Item #2: How can you always bring up the Question of the Day dialog?
13.0,13.1,0.1,0.3,4,6664,30.3月.2018,30.3月.2018,100,1.000,0.64,0.73,0.75,Item #3: What do you need SuperMemo for?
13.0,13.1,0.1,0.3,4,6664,30.3月.2018,30.3月.2018,100,1.000,0.64,0.73,0.75,Item #9: How can you learn the elements stored in SuperMemo?
9.3,13.1,3.8,8.0,3,6670,05.4月.2018,05.4月.2018,100,1.000,0.64,0.84,0.60,Item #12: (js) window 对象的哪个方法会在指定毫秒数的间隔里重复调用？
9.3,13.1,3.8,8.0,4,6670,05.4月.2018,05.4月.2018,100,1.000,0.64,0.84,0.60,Item #13: (js) window 对象的哪个方法用来实现一个函数在指定的毫秒之后运行？
7.5,16.5,9.0,6.1,3,6674,09.4月.2018,09.4月.2018,100,1.000,0.36,0.40,0.31,Item #11: How can you make a copy of a SuperMemo collection?
7.7,11.1,3.4,6.3,4,6675,10.4月.2018,10.4月.2018,100,1.000,0.70,0.91,0.62,Item #2: How can you always bring up the Question of the Day dialog?
7.7,11.1,3.4,6.3,4,6675,10.4月.2018,10.4月.2018,100,1.000,0.70,0.91,0.62,Item #9: How can you learn the elements stored in SuperMemo?
7.7,11.1,3.4,6.3,3,6675,10.4月.2018,10.4月.2018,100,1.000,0.70,0.91,0.62,Item #3: What do you need SuperMemo for?
8.1,9.8,1.7,6.1,4,6677,12.4月.2018,12.4月.2018,100,1.000,0.67,0.83,0.78,Item #45: JavaScript:. let arr = [1. 2. 3. 4. 5];. console.log(arr.slice(1. -1));  // 输出？
8.1,9.8,1.7,6.1,5,6677,12.4月.2018,12.4月.2018,100,1.000,0.67,0.83,0.78,Item #34: JavaScript:. var arr = [1. 2. 3];. console.log(arr.join(' '));  // 输出？
8.1,9.8,1.7,6.1,3,6677,12.4月.2018,12.4月.2018,100,1.000,0.67,0.83,0.78,Item #41: JavaScript:. let arr = [1. 2. 3. 4. 5];. arr.slice(0. 3);. console.log(arr);  // 输出？
8.1,9.8,1.7,6.1,4,6677,12.4月.2018,12.4月.2018,100,1.000,0.67,0.83,0.78,Item #51: JavaScript:. var arr = [1.2.3];. arr.reverse().join();. console.log(arr);  // 输出？
8.1,9.8,1.7,6.1,4,6677,12.4月.2018,12.4月.2018,100,1.000,0.68,0.83,0.78,Item #42: JavaScript:. let arr = ['banana'.'cherry'.'apple'];. arr.sort();. console.log(arr);  // 输出？
8.1,9.8,1.7,6.1,5,6677,12.4月.2018,12.4月.2018,100,1.000,0.68,0.83,0.77,Item #56: JavaScript:. var arr = [1.2.3];. console.log(arr.join());  // 输出？
8.1,9.8,1.7,6.1,4,6677,12.4月.2018,12.4月.2018,100,1.000,0.68,0.83,0.77,Item #54: JavaScript:. var arr = [1.2.3.4.5];. console.log(arr.slice(0.3));  // 输出？
8.1,9.8,1.7,6.1,4,6677,12.4月.2018,12.4月.2018,100,1.000,0.68,0.83,0.77,Item #38: JavaScript:. let arr = ['a'. 'b'. 'c'];. console.log(arr.concat('d'. 'e'));  // 输出？
8.1,9.8,1.7,6.1,4,6677,12.4月.2018,12.4月.2018,100,1.000,0.68,0.83,0.77,Item #40: JavaScript:. let arr = ['a'. 'b'. 'c'];. console.log(arr.concat(['d'. 'e']. ['f'. 'g']));  // 输出？
